received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T20:36:55.717270+00:00,49,35262,128x,300ms,25,64,1,67,538,471,1513,545,180,94,66,42,1571
2026-09-15T20:36:56.437795+00:00,50,35984,128x,300ms,25,64,1,67,538,472,1513,545,180,94,66,42,1571
2026-09-15T20:36:57.157222+00:00,51,36706,128x,300ms,25,64,0,67,538,471,1513,545,180,94,67,42,1570
2026-09-15T20:36:57.886159+00:00,52,37428,128x,300ms,25,64,0,67,538,471,1512,544,180,94,66,42,1569
2026-09-15T20:36:58.605729+00:00,53,38150,128x,300ms,25,64,0,66,534,468,1503,577,188,98,73,44,1717
2026-09-15T20:36:59.325878+00:00,54,38873,128x,300ms,25,64,0,67,544,472,1492,539,174,91,66,40,1572
2026-09-15T20:37:00.045811+00:00,55,39595,128x,300ms,25,64,0,66,536,478,1511,540,174,91,65,41,1559
2026-09-15T20:37:00.766069+00:00,56,40316,128x,300ms,25,64,1,66,539,479,1509,539,174,90,65,41,1561
2026-09-15T20:37:01.493282+00:00,57,41038,128x,300ms,25,64,1,66,539,479,1508,539,174,90,65,41,1561
2026-09-15T20:37:02.213658+00:00,58,41760,128x,300ms,25,64,1,66,540,479,1509,540,174,90,65,41,1562
2026-09-15T20:37:02.933332+00:00,59,42482,128x,300ms,25,64,1,66,539,480,1509,539,174,90,65,41,1561
2026-09-15T20:37:03.654644+00:00,60,43204,128x,300ms,25,64,1,66,540,479,1509,539,175,91,65,41,1562
2026-09-15T20:37:04.381942+00:00,61,43925,128x,300ms,25,64,0,66,540,479,1509,539,174,91,65,41,1562
2026-09-15T20:37:05.102136+00:00,62,44648,128x,300ms,25,64,0,66,540,479,1509,539,175,90,66,41,1561
2026-09-15T20:37:05.822995+00:00,63,45371,128x,300ms,25,64,0,66,540,480,1509,539,174,90,65,41,1562
2026-09-15T20:37:06.541819+00:00,64,46094,128x,300ms,25,64,0,66,540,479,1509,537,174,90,65,41,1554
2026-09-15T20:37:07.269866+00:00,65,46816,128x,300ms,25,64,0,65,528,468,1476,524,169,88,63,40,1510
2026-09-15T20:37:07.990242+00:00,66,47539,128x,300ms,25,64,1,65,536,474,1495,540,174,90,66,41,1554
2026-09-15T20:37:08.717696+00:00,67,48261,128x,300ms,25,64,1,66,541,479,1510,540,175,91,65,41,1554
2026-09-15T20:37:08.750344+00:00,68,48982,128x,300ms,25,64,1,66,541,479,1511,392,127,67,47,29,1099
2026-09-15T20:37:09.477606+00:00,69,49703,128x,300ms,25,64,1,248,659,790,812,8487,8971,6157,2585,1521,21583
2026-09-15T20:37:10.205658+00:00,70,50429,128x,300ms,25,64,1,1274,3234,3897,3865,9236,8543,6895,2666,2056,23556
2026-09-15T20:37:10.925490+00:00,71,51156,128x,300ms,25,64,0,1308,3568,3955,3982,9400,8881,6897,2725,2086,24027
2026-09-15T20:37:11.653289+00:00,72,51884,128x,300ms,25,64,0,1340,3539,4070,4080,9405,9061,6837,2734,2092,24486
